0.0298831,-0.0009675333,0.07293978,0.103078,0.06825405,-0.02526402,0.026671,0.9969914
0.1279272,0.003387762,0.07344209,0.1112465,0.06845775,-0.02593753,0.02720639,0.9969456
0.1666288,0.01403293,0.07381556,0.1320866,0.06810314,-0.02500444,0.02781679,0.996977
0.1965231,0.02028989,0.0734871,0.1446802,0.06777807,-0.02325342,0.02734242,0.9970546
0.2260148,0.02642427,0.07319669,0.1579143,0.06708621,-0.0219274,0.02847514,0.9970997
0.251773,0.03184071,0.07345749,0.1708688,0.06554846,-0.02123599,0.02995761,0.9971735
0.2804782,0.03413808,0.07270274,0.1782831,0.06484238,-0.02125371,0.03002052,0.9972174
0.3096415,0.03566976,0.0719016,0.1843086,0.06542386,-0.02194263,0.03045804,0.9971513
0.3344431,0.03884911,0.07138845,0.1948346,0.06588417,-0.02319838,0.03123326,0.9970685
0.3630123,0.04079193,0.07110734,0.2043826,0.06479343,-0.02474753,0.03022944,0.9971337
0.3901403,0.0429026,0.06948808,0.2149979,0.06598488,-0.02549371,0.02943365,0.9970606
0.4181407,0.04336979,0.0683719,0.2201303,0.06711144,-0.02630926,0.03140491,0.996904
0.4463405,0.04494019,0.06672511,0.2318355,0.06484989,-0.02860441,0.03354786,0.9969207
0.4711326,0.04633204,0.06529675,0.2446158,0.0631872,-0.03113956,0.03287641,0.9969739
0.4999402,0.04624683,0.06501199,0.2519108,0.06329174,-0.03236637,0.03127001,0.9969798
0.5277927,0.04701884,0.06408383,0.2673182,0.06262101,-0.03422783,0.03111939,0.9969648
0.5534437,0.04764825,0.06262723,0.2847938,0.0634803,-0.03574904,0.03098195,0.9968613
0.5825956,0.04748026,0.06101536,0.2962761,0.06482236,-0.03637079,0.03236143,0.9967086
0.6132904,0.04739505,0.05843141,0.3183702,0.06025321,-0.0391329,0.03339015,0.9968567
0.6400918,0.04696018,0.05446124,0.3448412,0.05428622,-0.04209589,0.03324894,0.9970835
0.6673799,0.04629967,0.05055327,0.3616282,0.05336405,-0.04374233,0.03170953,0.9971126
0.6944454,0.04526293,0.04623911,0.3794475,0.05281071,-0.04491786,0.03005293,0.9971411
0.7228357,0.04328767,0.03747382,0.413853,0.05211458,-0.04697671,0.02750317,0.9971564
0.751354,0.04114196,0.02775431,0.4481531,0.05377916,-0.04754364,0.02668452,0.9970634
0.7780889,0.03780411,0.01556288,0.488507,0.05597724,-0.04636773,0.0242365,0.9970603
0.8050041,0.03363737,0.001196101,0.5334534,0.05802887,-0.0442467,0.02099207,0.997113
0.833117,0.0300997,-0.009630587,0.5657425,0.0562028,-0.04089678,0.02287257,0.9973192
0.8585021,0.02402215,-0.02591724,0.6154876,0.05365027,-0.03752067,0.02009385,0.9976523
0.888232,0.01900377,-0.03834374,0.6467649,0.05584998,-0.03552809,0.02116548,0.9975824
0.9166702,0.01054766,-0.05242108,0.704919,0.05626435,-0.03130389,0.02372861,0.9976429
0.9466607,-0.0009198841,-0.0544539,0.7653142,0.04053945,-0.02770888,0.01982011,0.998597
0.9727437,-0.01314673,-0.05754317,0.829896,0.03985269,-0.02353063,0.02418181,0.9986358
0.9992658,-0.02085667,-0.05114688,0.8693577,0.03465254,-0.0206244,0.03046551,0.9987221
1.02846,-0.03376237,-0.04353591,0.944378,0.01315795,-0.01672565,0.03732115,0.9990767
1.05408,-0.04554823,-0.03582564,1.016139,0.0006184949,-0.01191491,0.03179779,0.9994231
1.080157,-0.05194508,-0.03267323,1.054243,0.00106083,-0.009423926,0.02529733,0.999635
1.106963,-0.06224546,-0.040145,1.123397,6.470994E-05,-0.0048791,0.02287646,0.9997264
1.132869,-0.06654471,-0.05326055,1.159942,0.009202937,-0.003167763,0.02454904,0.9996513
